Nível;Cód.;Município;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
MU;1200401;Rio Branco (AC);-;-;3000;-;3000;3000;3300;3300;3318;-;2702;2750;-;1500;1800;2500;3195;3237;3390;3400
MU;1200427;Rodrigues Alves (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1200435;Santa Rosa do Purus (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1200450;Senador Guiomard (AC);-;-;960;1200;-;-;-;-;-;-;-;2733;-;-;-;-;-;-;3600;3600
MU;1200500;Sena Madureira (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1200609;Tarauacá (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1200708;Xapuri (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3000;3700
MU;1200807;Porto Acre (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3600
MU;1300029;Alvarães (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1300060;Amaturá (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1300086;Anamã (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1300102;Anori (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1300144;Apuí (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1300201;Atalaia do Norte (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1300300;Autazes (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1300409;Barcelos (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1300508;Barreirinha (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1300607;Benjamin Constant (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1300631;Beruri (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1300680;Boa Vista do Ramos (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1300706;Boca do Acre (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3400
MU;1300805;Borba (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1300839;Caapiranga (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1300904;Canutama (AM);-;-;-;-;-;-;-;-;-;3000;3000;-;-;-;-;-;-;-;-;-
MU;1301001;Carauari (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1301100;Careiro (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1301159;Careiro da Várzea (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1301209;Coari (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1301308;Codajás (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1301407;Eirunepé (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1301506;Envira (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1301605;Fonte Boa (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1301654;Guajará (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1301704;Humaitá (AM);2435;2500;2435;2435;3000;3000;3000;3000;3000;3000;-;-;-;-;-;-;3000;2963;3333;2083
MU;1301803;Ipixuna (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1301852;Iranduba (AM);1833;1833;1833;1833;1833;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1301902;Itacoatiara (AM);1500;1500;1500;1500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1301951;Itamarati (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1302009;Itapiranga (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1302108;Japurá (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1302207;Juruá (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1302306;Jutaí (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1302405;Lábrea (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1302504;Manacapuru (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1302553;Manaquiri (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1302603;Manaus (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1302702;Manicoré (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1302801;Maraã (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1302900;Maués (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1303007;Nhamundá (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1303106;Nova Olinda do Norte (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1303205;Novo Airão (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1303304;Novo Aripuanã (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1303403;Parintins (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1303502;Pauini (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1303536;Presidente Figueiredo (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1303569;Rio Preto da Eva (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1303601;Santa Isabel do Rio Negro (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1303700;Santo Antônio do Içá (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-
MU;1303809;São Gabriel da Cachoeira (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
