Município;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006
Pa-Belterra;14;11;12;12;10;11;13;6;5;5;3;3;2;1;1;2
Pa-Benevides;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Bom Jesus do Tocantins;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Bonito;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Braganca;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Brasil Novo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Brejo Grande do Araguaia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Breu Branco;2;1;2;1;1;1;0;0;0;0;0;0;0;0;0;0
Pa-Breves;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Bujaru;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Cachoeira do Piria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Cachoeira do Arari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Cameta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Canaa dos Carajas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Capanema;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Capitao Poco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Castanhal;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Pa-Chaves;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Colares;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Conceicao do Araguaia;8;5;4;3;3;1;2;2;1;1;1;1;1;1;1;0
Pa-Concordia do Para;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Cumaru do Norte;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
