Município;2005;2004;2003
To-Darcinopolis;42;83;15
To-Dianopolis;39;18;18
To-Divinopolis do Tocantins;116;90;82
To-Dois Irmaos do Tocantins;73;61;60
To-Duere;96;83;62
To-Esperantina;1;0;0
To-Fatima;11;9;7
To-Figueiropolis;82;117;88
To-Filadelfia;64;56;13
To-Formoso do Araguaia;100;78;61
To-Fortaleza do Tabocao;15;14;10
To-Goianorte;11;10;2
To-Goiatins;33;30;9
To-Guarai;70;78;53
To-Gurupi;233;224;182
To-Ipueiras;10;3;4
To-Itacaja;4;3;2
To-Itaguatins;44;38;10
To-Itapiratins;31;20;2
To-Itapora do Tocantins;92;81;70
To-Jau do Tocantins;26;25;16
To-Juarina;7;5;5
To-Lagoa da Confusao;70;52;56
To-Lagoa do Tocantins;1;1;1
To-Lajeado;3;1;0
To-Lavandeira;3;2;2
To-Lizarda;2;6;3
To-Luzinopolis;17;16;17
To-Marianopolis do Tocantins;100;101;84
To-Mateiros;2;0;0
To-Maurilandia do Tocantins;7;4;5
To-Miracema do Tocantins;151;157;133
To-Miranorte;101;129;95
To-Monte do Carmo;60;59;36
To-Monte Santo do Tocantins;14;11;13
To-Palmeiras do Tocantins;18;20;16
To-Muricilandia;143;142;44
To-Natividade;46;33;20
To-Nazare;17;16;10
To-Nova Olinda;70;64;51
To-Nova Rosalandia;6;11;9
To-Novo Acordo;4;3;4
To-Novo Alegre;3;3;2
To-Novo Jardim;7;13;2
To-Oliveira de Fatima;6;4;5
To-Palmeirante;27;19;16
To-Palmeiropolis;66;43;51
To-Paraiso do Tocantins;188;209;136
To-Parana;27;23;11
To-Pau D Arco;84;29;30
To-Pedro Afonso;29;31;20
To-Peixe;144;95;93
To-Pequizeiro;56;40;40
To-Colmeia;36;27;27
To-Pindorama do Tocantins;5;6;4
To-Piraque;250;278;236
To-Pium;204;182;174
To-Ponte Alta do Bom Jesus;2;2;0
To-Ponte Alta do Tocantins;7;5;6
To-Porto Alegre do Tocantins;0;1;0
To-Porto Nacional;255;216;157
To-Praia Norte;2;0;0
To-Presidente Kennedy;41;69;74
To-Pugmil;13;12;12
To-Recursolandia;8;6;1
To-Riachinho;11;19;17
To-Rio da Conceicao;0;0;2
To-Rio dos Bois;8;6;4
To-Rio Sono;10;7;1
To-Sampaio;1;1;0
To-Sandolandia;71;95;95
To-Santa Fe do Araguaia;316;213;148
