Município;2005;2004;2003
Ap-Tartarugalzinho;0;0;0
Ap-Vitoria do Jari;0;0;0
Ap-Ignorado;0;0;0
To-Abreulandia;1;1;0
To-Aguiarnopolis;0;0;0
To-Alianca do Tocantins;2;0;0
To-Almas;2;1;1
To-Alvorada;2;0;1
To-Ananas;1;0;0
To-Angico;1;1;0
To-Aparecida do Rio Negro;0;0;0
To-Aragominas;0;0;0
To-Araguacema;0;0;0
To-Araguacu;1;1;0
To-Araguaina;1;2;0
To-Araguana;0;0;0
To-Araguatins;0;0;0
To-Arapoema;2;0;0
To-Arraias;0;0;0
To-Augustinopolis;0;0;0
To-Aurora do Tocantins;0;0;0
To-Axixa do Tocantins;0;0;0
To-Babaculandia;2;2;1
To-Bandeirantes do Tocantins;0;0;0
To-Barra do Ouro;0;0;0
To-Barrolandia;0;0;0
To-Bernardo Sayao;0;0;0
To-Bom Jesus do Tocantins;3;3;1
To-Brasilandia do Tocantins;1;2;0
To-Brejinho de Nazare;4;3;1
To-Buriti do Tocantins;0;0;0
To-Cachoeirinha;0;0;0
To-Campos Lindos;31;31;24
To-Cariri do Tocantins;0;0;0
To-Carmolandia;0;0;0
To-Carrasco Bonito;0;0;0
To-Caseara;1;1;1
To-Centenario;5;3;1
To-Chapada de Areia;0;0;0
To-Chapada da Natividade;1;0;0
To-Colinas do Tocantins;1;0;0
To-Combinado;0;0;0
To-Conceicao do Tocantins;0;0;0
To-Couto Magalhaes;0;0;0
To-Cristalandia;0;0;0
To-Crixas do Tocantins;0;0;0
To-Darcinopolis;0;0;0
To-Dianopolis;10;6;6
To-Divinopolis do Tocantins;0;0;0
To-Dois Irmaos do Tocantins;0;0;0
To-Duere;0;0;0
To-Esperantina;0;0;0
To-Fatima;0;0;0
To-Figueiropolis;1;0;0
To-Filadelfia;0;0;0
To-Formoso do Araguaia;3;1;1
To-Fortaleza do Tabocao;0;0;0
To-Goianorte;1;1;0
To-Goiatins;2;1;0
To-Guarai;4;3;2
To-Gurupi;0;0;0
To-Ipueiras;2;0;0
To-Itacaja;5;4;0
To-Itaguatins;0;0;0
To-Itapiratins;3;4;2
To-Itapora do Tocantins;0;0;0
To-Jau do Tocantins;1;0;0
To-Juarina;0;0;0
To-Lagoa da Confusao;2;1;0
To-Lagoa do Tocantins;0;0;0
To-Lajeado;0;0;0
To-Lavandeira;0;0;0
To-Lizarda;1;0;0
To-Luzinopolis;0;0;0
To-Marianopolis do Tocantins;0;0;0
To-Mateiros;4;3;0
To-Maurilandia do Tocantins;0;0;0
To-Miracema do Tocantins;0;0;0
To-Miranorte;1;0;0
To-Monte do Carmo;5;2;0
To-Monte Santo do Tocantins;0;0;0
To-Palmeiras do Tocantins;0;0;0
To-Muricilandia;0;0;0
To-Natividade;1;0;0
To-Nazare;0;0;0
To-Nova Olinda;2;2;0
To-Nova Rosalandia;0;0;0
To-Novo Acordo;0;0;0
To-Novo Alegre;0;0;0
To-Novo Jardim;0;0;0
To-Oliveira de Fatima;0;0;0
To-Palmeirante;6;1;0
To-Palmeiropolis;0;0;1
To-Paraiso do Tocantins;0;0;0
To-Parana;0;0;0
To-Pau D Arco;0;0;0
To-Pedro Afonso;17;17;13
To-Peixe;4;1;1
To-Pequizeiro;0;0;0
To-Colmeia;0;0;0
To-Pindorama do Tocantins;0;0;0
To-Piraque;0;0;0
To-Pium;0;1;0
To-Ponte Alta do Bom Jesus;0;0;0
To-Ponte Alta do Tocantins;1;1;2
To-Porto Alegre do Tocantins;1;0;0
To-Porto Nacional;6;6;1
To-Praia Norte;0;0;0
To-Presidente Kennedy;4;3;1
To-Pugmil;0;0;0
To-Recursolandia;2;0;0
To-Riachinho;0;0;0
To-Rio da Conceicao;0;0;0
To-Rio dos Bois;2;3;1
To-Rio Sono;3;1;0
To-Sampaio;0;0;0
To-Sandolandia;1;1;1
To-Santa Fe do Araguaia;0;0;0
To-Santa Maria do Tocantins;8;6;2
To-Santa Rita do Tocantins;0;0;0
To-Santa Rosa do Tocantins;8;8;3
To-Santa Tereza do Tocantins;0;0;0
To-Santa Terezinha do Tocantins;0;0;0
To-Sao Bento do Tocantins;1;1;0
To-Sao Felix do Tocantins;0;0;0
To-Sao Miguel do Tocantins;0;0;0
To-Sao Salvador do Tocantins;0;0;0
To-Sao Sebastiao do Tocantins;0;0;0
To-Sao Valerio;0;0;0
To-Silvanopolis;1;1;0
To-Sitio Novo do Tocantins;0;0;0
To-Sucupira;1;0;0
To-Taguatinga;1;1;1
To-Taipas do Tocantins;0;0;0
To-Talisma;0;0;0
To-Palmas;2;2;1
To-Tocantinia;0;1;0
To-Tocantinopolis;0;0;0
To-Tupirama;4;5;1
To-Tupiratins;0;0;0
To-Wanderlandia;2;2;0
To-Xambioa;0;0;0
To-Ignorado;0;0;0
Ma-Acailandia;0;0;0
Ma-Afonso Cunha;0;0;0
Ma-Agua Doce do Maranhao;0;0;0
Ma-Alcantara;0;0;0
Ma-Aldeias Altas;0;0;0
Ma-Altamira do Maranhao;0;0;0
Ma-Alto Alegre do Maranhao;0;0;0
Ma-Alto Alegre do Pindare;0;0;0
Ma-Alto Parnaiba;6;9;5
Ma-Amapa do Maranhao;0;0;0
Ma-Amarante do Maranhao;0;0;0
Ma-Anajatuba;0;0;0
Ma-Anapurus;5;3;1
Ma-Apicum-Acu;0;0;0
Ma-Araguana;0;0;0
Ma-Araioses;0;0;0
Ma-Arame;0;0;0
Ma-Arari;0;0;0
Ma-Axixa;0;0;0
Ma-Bacabal;0;0;0
Ma-Bacabeira;0;0;0
Ma-Bacuri;0;0;0
Ma-Bacurituba;0;0;0
Ma-Balsas;73;102;62
Ma-Barao de Grajau;0;0;0
Ma-Barra do Corda;1;1;0
Ma-Barreirinhas;0;0;0
Ma-Belagua;0;0;0
Ma-Bela Vista do Maranhao;0;0;0
Ma-Benedito Leite;1;1;0
Ma-Bequimao;0;0;0
Ma-Bernardo do Mearim;0;0;0
Ma-Boa Vista do Gurupi;0;0;0
Ma-Bom Jardim;0;0;0
Ma-Bom Jesus das Selvas;0;0;0
Ma-Bom Lugar;0;0;0
Ma-Brejo;3;0;0
Ma-Brejo de Areia;0;0;0
Ma-Buriti;2;1;0
Ma-Buriti Bravo;0;0;0
Ma-Buriticupu;0;0;0
Ma-Buritirana;0;0;0
Ma-Cachoeira Grande;0;0;0
Ma-Cajapio;0;0;0
Ma-Cajari;0;0;0
Ma-Campestre do Maranhao;0;0;0
Ma-Candido Mendes;0;0;0
Ma-Cantanhede;0;0;0
Ma-Capinzal do Norte;0;0;0
Ma-Carolina;4;6;1
Ma-Carutapera;0;0;0
Ma-Caxias;1;1;0
Ma-Cedral;0;0;0
Ma-Central do Maranhao;0;0;0
Ma-Centro do Guilherme;0;0;0
Ma-Centro Novo do Maranhao;0;0;0
Ma-Chapadinha;6;4;2
Ma-Cidelandia;0;0;0
Ma-Codo;0;0;0
Ma-Coelho Neto;0;0;0
Ma-Colinas;1;0;0
Ma-Conceicao do Lago-Acu;0;0;0
Ma-Coroata;0;0;0
Ma-Cururupu;0;0;0
Ma-Davinopolis;0;0;0
Ma-Dom Pedro;0;0;0
Ma-Duque Bacelar;0;0;0
Ma-Esperantinopolis;0;0;0
Ma-Estreito;2;1;0
Ma-Feira Nova do Maranhao;0;0;0
Ma-Fernando Falcao;0;0;0
Ma-Formosa da Serra Negra;0;0;0
Ma-Fortaleza dos Nogueiras;2;1;2
Ma-Fortuna;0;0;0
Ma-Godofredo Viana;0;0;0
Ma-Goncalves Dias;0;0;0
Ma-Governador Archer;0;0;0
Ma-Governador Edison Lobao;0;0;0
Ma-Governador Eugenio Barros;0;0;0
Ma-Governador Luiz Rocha;0;0;0
Ma-Governador Newton Bello;0;0;0
Ma-Governador Nunes Freire;0;0;0
Ma-Graca Aranha;0;0;0
Ma-Grajau;0;0;0
Ma-Guimaraes;0;0;0
Ma-Humberto de Campos;0;0;0
Ma-Icatu;0;0;0
Ma-Igarape do Meio;0;0;0
Ma-Igarape Grande;0;0;0
Ma-Imperatriz;0;0;0
Ma-Itaipava do Grajau;0;0;0
Ma-Itapecuru Mirim;0;0;0
Ma-Itinga do Maranhao;0;0;0
Ma-Jatoba;0;0;0
Ma-Jenipapo dos Vieiras;0;0;0
Ma-Joao Lisboa;0;0;0
Ma-Joselandia;0;0;0
Ma-Junco do Maranhao;0;0;0
Ma-Lago da Pedra;0;0;0
Ma-Lago do Junco;0;0;0
Ma-Lago Verde;0;0;0
Ma-Lagoa do Mato;0;0;0
Ma-Lago dos Rodrigues;0;0;0
Ma-Lagoa Grande do Maranhao;0;0;0
Ma-Lajeado Novo;0;0;0
Ma-Lima Campos;0;0;0
Ma-Loreto;16;11;3
Ma-Luis Domingues;0;0;0
Ma-Magalhaes de Almeida;0;0;0
Ma-Maracacume;0;0;0
Ma-Maraja do Sena;0;0;0
Ma-Maranhaozinho;0;0;0
Ma-Mata Roma;1;1;1
Ma-Matinha;0;0;0
Ma-Matoes;0;0;0
Ma-Matoes do Norte;0;0;0
Ma-Milagres do Maranhao;0;0;0
Ma-Mirador;0;0;0
Ma-Miranda do Norte;0;0;0
Ma-Mirinzal;0;0;0
Ma-Moncao;0;0;0
Ma-Montes Altos;0;0;0
Ma-Morros;0;0;0
Ma-Nina Rodrigues;0;0;0
Ma-Nova Colinas;0;1;0
Ma-Nova Iorque;0;0;0
Ma-Nova Olinda do Maranhao;0;0;0
Ma-Olho D Agua das Cunhas;0;0;0
Ma-Olinda Nova do Maranhao;0;0;0
Ma-Paco do Lumiar;0;0;0
Ma-Palmeirandia;0;0;0
Ma-Paraibano;0;0;0
Ma-Parnarama;0;0;0
Ma-Passagem Franca;0;0;0
Ma-Pastos Bons;1;1;2
Ma-Paulino Neves;0;0;0
Ma-Paulo Ramos;0;0;0
Ma-Pedreiras;0;0;0
Ma-Pedro do Rosario;0;0;0
Ma-Penalva;0;0;0
Ma-Peri Mirim;0;0;0
Ma-Peritoro;0;0;0
Ma-Pindare-Mirim;0;0;0
Ma-Pinheiro;0;0;0
Ma-Pio Xii;0;0;0
Ma-Pirapemas;0;0;0
Ma-Pocao de Pedras;0;0;0
Ma-Porto Franco;0;0;0
Ma-Porto Rico do Maranhao;0;0;0
Ma-Presidente Dutra;0;0;0
Ma-Presidente Juscelino;0;0;0
Ma-Presidente Medici;0;0;0
Ma-Presidente Sarney;0;0;0
Ma-Presidente Vargas;0;0;0
Ma-Primeira Cruz;0;0;0
Ma-Raposa;0;0;0
Ma-Riachao;15;15;9
Ma-Ribamar Fiquene;0;0;0
Ma-Rosario;0;0;0
Ma-Sambaiba;19;19;15
Ma-Santa Filomena do Maranhao;0;0;0
Ma-Santa Helena;0;0;0
Ma-Santa Ines;0;0;0
Ma-Santa Luzia;0;0;0
Ma-Santa Luzia do Parua;0;0;0
Ma-Santa Quiteria do Maranhao;0;0;0
Ma-Santa Rita;0;0;0
Ma-Santana do Maranhao;0;0;0
Ma-Santo Amaro do Maranhao;0;0;0
Ma-Santo Antonio dos Lopes;0;0;0
Ma-Sao Benedito do Rio Preto;0;0;0
Ma-Sao Bento;0;0;0
