Nível;Cód.;Município;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
MU;1301951;Itamarati (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1302009;Itapiranga (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1302108;Japurá (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1302207;Juruá (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1302306;Jutaí (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1302405;Lábrea (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1302504;Manacapuru (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1302553;Manaquiri (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1302603;Manaus (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1302702;Manicoré (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1302801;Maraã (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1302900;Maués (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1303007;Nhamundá (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1303106;Nova Olinda do Norte (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1303205;Novo Airão (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1303304;Novo Aripuanã (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1303403;Parintins (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1303502;Pauini (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1303536;Presidente Figueiredo (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1303569;Rio Preto da Eva (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
