Nível;Cód.;Município;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
MU;1400233;Caroebe (RR);20000;20000;20000;20200;21600;24000;24200;30950;51985;51451;57422;55793;62539;63453;66995;67579;79423;80481;81233;92549
MU;1400282;Iracema (RR);21000;20000;25000;25200;24000;21100;21050;25000;32816;36453;45822;46784;51003;44930;47054;50535;58425;64034;64780;90865
MU;1400308;Mucajaí (RR);20000;20000;22000;22000;23000;30000;30100;54100;66676;86249;113248;114346;127775;128969;114686;127877;132266;149368;151569;198112
MU;1400407;Normandia (RR);9000;11000;10000;9800;10000;10500;10000;14900;14445;16930;20715;18113;17690;15793;15319;13552;16789;18998;19234;16965
MU;1400456;Pacaraima (RR);18000;22000;16000;16000;15000;16300;16250;18900;17654;18420;18336;17052;19890;21380;21354;19390;21117;20249;20879;18214
MU;1400472;Rorainópolis (RR);29000;35000;37000;37100;38000;38000;38100;42200;47318;46120;48656;51377;60845;59956;65261;65700;73858;80376;80767;110419
MU;1400506;São João da Baliza (RR);15000;18000;19000;19000;19000;21000;21100;28000;25603;25030;21946;22634;23384;23430;22841;23677;25577;25882;26232;29497
MU;1400605;São Luiz (RR);15000;15000;16000;16000;16000;17300;17400;41500;42432;41960;40572;35483;37081;38665;40118;41252;43342;43561;44474;49408
MU;1400704;Uiramutã (RR);1900;3000;3000;3000;2500;3100;3120;11500;15055;17050;20528;18723;18731;14869;15652;17495;19456;20650;21310;13878
MU;1500107;Abaetetuba (PA);3827;4497;3791;3800;3896;4194;3438;2263;1527;1859;1858;1700;19086;2408;2800;3100;2800;3100;3500;3800
MU;1500131;Abel Figueiredo (PA);68212;75020;75080;76243;64806;58328;52498;48198;44422;46000;54531;57517;54195;45934;46364;45025;50371;49300;45670;46200
MU;1500206;Acará (PA);32328;9396;17636;18517;22638;25000;26000;21480;11689;6372;10085;10948;11982;10546;10740;19741;19700;12179;15184;15674
MU;1500305;Afuá (PA);4135;4400;4380;4450;3600;3800;4200;4280;4350;4410;1904;2105;2364;1547;1571;1515;1639;1761;1842;1505
MU;1500347;Água Azul do Norte (PA);563594;587216;575520;581758;409909;436678;453885;564356;545819;556735;564582;585400;590693;620683;643946;651004;660474;662809;688758;712897
MU;1500404;Alenquer (PA);106080;137164;151468;161306;167401;112400;147352;170396;166052;160908;168444;191140;189902;190903;188400;213741;205369;224431;237509;224431
MU;1500503;Almeirim (PA);21630;22170;23278;23976;25395;33108;34763;36501;38326;39475;25312;24124;21853;21100;23414;28110;28672;26092;26966;26092
MU;1500602;Altamira (PA);291061;314217;339517;365034;402340;399512;413625;555324;688901;668541;711028;687535;628481;657436;656430;707958;759451;797254;904271;1003968
MU;1500701;Anajás (PA);693;688;750;718;702;700;820;858;860;910;990;1024;970;950;960;1610;1640;1560;1310;1230
MU;1500800;Ananindeua (PA);1447;1354;315;320;350;200;260;240;250;146;180;34;124;85;78;102;81;34;50;22
MU;1500859;Anapu (PA);95149;118600;139260;172456;280321;175384;177857;171721;175023;225093;270460;262642;251681;267860;202400;237584;283448;325932;337782;362621
MU;1500909;Augusto Corrêa (PA);6700;3500;3153;3216;3600;3500;2953;3252;3177;3999;4247;3795;3556;3894;4006;3820;3463;3151;3549;3919
MU;1500958;Aurora do Pará (PA);61810;78715;108465;119881;104296;93884;84499;82047;82429;86450;86266;81231;80682;79862;79425;60489;69214;67493;77764;90135
MU;1501006;Aveiro (PA);19957;23450;25604;30540;37329;35447;37229;37736;37202;31160;43637;42160;45668;47187;50942;50227;52493;55008;64029;55280
MU;1501105;Bagre (PA);1585;1620;1650;1720;1620;1560;1610;1650;1692;1744;1811;1793;1834;1612;1596;1424;1310;1100;914;820
MU;1501204;Baião (PA);30354;77470;52468;47483;57632;60514;63539;66715;70050;63241;66420;64870;68870;63570;70000;54197;59069;67407;68000;81976
