Município;2005;2004;2003
Rr-Iracema;0;0;0
Rr-Mucajai;0;0;0
Rr-Normandia;0;0;0
Rr-Pacaraima;0;0;0
Rr-Rorainopolis;0;0;0
Rr-Sao Joao da Baliza;0;0;0
Rr-Sao Luiz;0;0;0
Rr-Uiramuta;0;0;0
Rr-Ignorado;0;0;0
Pa-Abaetetuba;0;0;0
Pa-Abel Figueiredo;0;0;0
Pa-Acara;0;0;0
Pa-Afua;0;0;0
Pa-Agua Azul do Norte;2;1;0
Pa-Alenquer;0;0;0
Pa-Almeirim;0;1;0
Pa-Altamira;2;2;2
Pa-Anajas;0;0;0
Pa-Ananindeua;2;2;5
Pa-Anapu;0;0;0
Pa-Augusto Correa;0;0;0
Pa-Aurora do Para;0;0;0
Pa-Aveiro;0;0;0
Pa-Bagre;0;0;0
Pa-Baiao;0;0;0
Pa-Bannach;0;0;0
Pa-Barcarena;1;0;0
Pa-Belem;17;15;12
Pa-Belterra;0;0;0
Pa-Benevides;1;2;2
Pa-Bom Jesus do Tocantins;0;0;0
Pa-Bonito;0;0;0
Pa-Braganca;3;3;3
Pa-Brasil Novo;0;0;0
Pa-Brejo Grande do Araguaia;0;0;0
Pa-Breu Branco;0;0;0
Pa-Breves;0;0;0
Pa-Bujaru;0;0;0
Pa-Cachoeira do Piria;0;0;0
Pa-Cachoeira do Arari;0;0;0
Pa-Cameta;0;0;0
Pa-Canaa dos Carajas;0;0;0
Pa-Capanema;0;1;2
Pa-Capitao Poco;0;0;0
Pa-Castanhal;4;5;4
Pa-Chaves;0;0;0
Pa-Colares;0;0;0
Pa-Conceicao do Araguaia;1;2;2
Pa-Concordia do Para;0;0;0
Pa-Cumaru do Norte;0;0;0
Pa-Curionopolis;0;0;0
Pa-Curralinho;0;0;0
Pa-Curua;0;0;0
Pa-Curuca;0;0;0
Pa-Dom Eliseu;0;0;0
Pa-Eldorado do Carajas;1;1;1
Pa-Faro;0;0;0
Pa-Floresta do Araguaia;0;0;0
Pa-Garrafao do Norte;0;0;0
Pa-Goianesia do Para;0;0;0
Pa-Gurupa;0;0;0
Pa-Igarape-Acu;0;0;0
Pa-Igarape-Miri;0;0;0
Pa-Inhangapi;0;0;0
Pa-Ipixuna do Para;0;0;0
Pa-Irituia;0;0;0
Pa-Itaituba;0;1;0
Pa-Itupiranga;0;0;0
Pa-Jacareacanga;0;0;0
Pa-Jacunda;0;0;0
Pa-Juruti;0;0;0
Pa-Limoeiro do Ajuru;0;0;0
Pa-Mae do Rio;1;0;0
Pa-Magalhaes Barata;0;0;0
Pa-Maraba;6;5;5
Pa-Maracana;0;0;0
Pa-Marapanim;0;0;0
Pa-Marituba;0;0;0
Pa-Medicilandia;0;0;0
Pa-Melgaco;0;0;0
Pa-Mocajuba;0;0;0
Pa-Moju;0;1;0
Pa-Mojui dos Campos;0;0;0
Pa-Monte Alegre;0;0;0
Pa-Muana;0;0;0
Pa-Nova Esperanca do Piria;0;0;0
Pa-Nova Ipixuna;0;0;0
Pa-Nova Timboteua;0;0;0
Pa-Novo Progresso;0;0;0
Pa-Novo Repartimento;0;0;0
Pa-Obidos;1;1;1
Pa-Oeiras do Para;0;0;0
Pa-Oriximina;0;0;0
Pa-Ourem;0;0;0
Pa-Ourilandia do Norte;1;0;0
Pa-Pacaja;0;0;0
Pa-Palestina do Para;0;0;0
Pa-Paragominas;3;1;1
Pa-Parauapebas;4;2;0
Pa-Pau D Arco;0;0;0
Pa-Peixe-Boi;0;0;0
Pa-Picarra;0;0;0
Pa-Placas;0;0;0
Pa-Ponta de Pedras;0;0;0
Pa-Portel;0;0;0
Pa-Porto de Moz;0;0;0
Pa-Prainha;0;0;0
Pa-Primavera;0;0;0
Pa-Quatipuru;0;0;0
Pa-Redencao;2;3;4
Pa-Rio Maria;1;1;1
Pa-Rondon do Para;0;0;0
Pa-Ruropolis;0;0;0
Pa-Salinopolis;0;0;0
Pa-Salvaterra;0;0;0
Pa-Santa Barbara do Para;0;0;0
Pa-Santa Cruz do Arari;0;0;0
Pa-Santa Izabel do Para;2;3;3
Pa-Santa Luzia do Para;0;0;0
Pa-Santa Maria das Barreiras;0;0;0
Pa-Santa Maria do Para;0;0;0
Pa-Santana do Araguaia;1;1;1
Pa-Santarem;12;13;9
Pa-Santarem Novo;0;0;0
Pa-Santo Antonio do Taua;0;0;0
Pa-Sao Caetano de Odivelas;0;0;0
Pa-Sao Domingos do Araguaia;0;0;0
Pa-Sao Domingos do Capim;0;0;0
Pa-Sao Felix do Xingu;0;0;0
Pa-Sao Francisco do Para;1;1;0
Pa-Sao Geraldo do Araguaia;0;0;0
Pa-Sao Joao da Ponta;0;0;0
Pa-Sao Joao de Pirabas;3;0;1
Pa-Sao Joao do Araguaia;0;0;0
Pa-Sao Miguel do Guama;0;0;0
Pa-Sao Sebastiao da Boa Vista;0;0;0
Pa-Sapucaia;0;0;0
Pa-Senador Jose Porfirio;1;0;0
Pa-Soure;0;0;0
Pa-Tailandia;0;0;0
Pa-Terra Alta;0;0;0
Pa-Terra Santa;0;0;0
Pa-Tome-Acu;0;0;0
Pa-Tracuateua;0;0;0
Pa-Trairao;0;0;0
Pa-Tucuma;1;1;1
Pa-Tucurui;1;1;1
Pa-Ulianopolis;0;0;0
Pa-Uruara;0;0;0
Pa-Vigia;5;4;3
Pa-Viseu;0;0;0
Pa-Vitoria do Xingu;0;0;0
Pa-Xinguara;2;2;2
Pa-Ignorado;0;0;0
Ap-Serra do Navio;0;0;0
Ap-Amapa;0;0;0
Ap-Pedra Branca do Amapari;0;0;0
Ap-Calcoene;1;1;1
Ap-Cutias;0;0;0
Ap-Ferreira Gomes;0;0;0
Ap-Itaubal;0;0;0
Ap-Laranjal do Jari;0;0;0
Ap-Macapa;1;2;0
Ap-Mazagao;0;0;0
Ap-Oiapoque;1;1;0
Ap-Porto Grande;0;0;0
Ap-Pracuuba;0;0;0
Ap-Santana;5;4;4
Ap-Tartarugalzinho;0;0;0
Ap-Vitoria do Jari;0;0;0
Ap-Ignorado;0;0;0
To-Abreulandia;0;0;0
To-Aguiarnopolis;0;0;0
To-Alianca do Tocantins;0;0;0
To-Almas;0;0;0
To-Alvorada;0;1;0
To-Ananas;0;0;0
To-Angico;0;0;0
To-Aparecida do Rio Negro;0;0;0
To-Aragominas;0;0;0
To-Araguacema;0;0;0
To-Araguacu;2;2;1
To-Araguaina;6;6;5
To-Araguana;0;0;0
To-Araguatins;0;0;0
To-Arapoema;0;0;0
To-Arraias;0;0;0
To-Augustinopolis;0;0;0
To-Aurora do Tocantins;0;0;0
To-Axixa do Tocantins;0;0;0
To-Babaculandia;0;0;0
To-Bandeirantes do Tocantins;0;0;0
To-Barra do Ouro;0;0;0
To-Barrolandia;0;0;0
To-Bernardo Sayao;0;0;0
To-Bom Jesus do Tocantins;0;0;0
To-Brasilandia do Tocantins;0;0;0
To-Brejinho de Nazare;1;2;1
To-Buriti do Tocantins;0;0;0
To-Cachoeirinha;0;0;0
To-Campos Lindos;0;0;0
To-Cariri do Tocantins;0;0;0
To-Carmolandia;0;0;0
To-Carrasco Bonito;0;0;0
To-Caseara;0;0;0
To-Centenario;0;0;0
