Município;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006
Pa-Abel Figueiredo;0;0;0;0;0;0;0;0;0;0;0
Pa-Acara;23;22;0;16;0;0;0;0;0;0;0
Pa-Afua;0;0;0;0;0;0;0;0;0;0;0
Pa-Agua Azul do Norte;548;550;527;566;464;411;344;435;531;547;483
Pa-Alenquer;0;0;0;0;0;2;0;0;0;0;0
Pa-Almeirim;0;0;0;0;0;0;0;0;0;0;0
Pa-Altamira;91;100;81;96;434;118;359;125;406;44;207
Pa-Anajas;0;0;0;0;0;0;0;0;0;0;0
Pa-Ananindeua;285;219;174;230;170;113;5;7;12;44;237
Pa-Anapu;0;0;0;0;0;0;0;0;0;0;0
Pa-Augusto Correa;0;0;0;0;0;0;0;0;0;0;0
Pa-Aurora do Para;0;0;0;0;0;0;0;0;0;0;0
Pa-Aveiro;0;0;0;0;0;0;0;0;0;0;0
Pa-Bagre;0;0;0;0;0;0;0;0;0;0;0
Pa-Baiao;0;0;0;0;0;0;0;0;0;0;0
Pa-Bannach;0;0;0;0;0;0;0;6;6;6;5
Pa-Barcarena;0;0;0;0;0;0;0;0;0;0;0
Pa-Belem;40;154;129;110;141;172;279;307;287;251;218
Pa-Belterra;0;0;0;0;0;0;0;0;0;0;0
Pa-Benevides;347;321;274;215;217;192;173;150;137;113;90
Pa-Bom Jesus do Tocantins;0;0;0;0;0;0;0;0;0;0;0
Pa-Bonito;0;0;0;0;0;0;0;0;0;0;0
Pa-Braganca;57;54;52;44;44;28;26;26;0;0;0
Pa-Brasil Novo;30;5;0;0;0;0;0;0;0;0;0
Pa-Brejo Grande do Araguaia;0;0;0;0;0;0;0;0;0;0;0
Pa-Breu Branco;0;95;94;80;45;34;0;0;0;0;0
Pa-Breves;27;33;33;31;33;30;33;31;32;31;14
Pa-Bujaru;0;0;0;0;0;0;0;0;0;0;0
Pa-Cachoeira do Piria;0;0;0;0;0;0;0;0;0;0;0
Pa-Cachoeira do Arari;0;0;0;0;0;0;0;0;0;0;0
Pa-Cameta;11;12;0;0;0;0;0;0;0;0;0
Pa-Canaa dos Carajas;15;18;23;9;13;6;9;7;7;0;0
Pa-Capanema;0;1;1;0;1;1;1;1;8;26;7
Pa-Capitao Poco;0;9;19;0;0;0;0;0;0;0;0
Pa-Castanhal;1282;1254;1253;1076;970;895;791;730;667;669;629
Pa-Chaves;0;0;0;0;0;0;0;0;0;0;0
Pa-Colares;0;0;0;0;0;0;0;0;0;0;0
Pa-Conceicao do Araguaia;10;17;23;15;15;26;129;133;157;0;143
Pa-Concordia do Para;0;0;0;0;0;0;0;0;0;0;0
Pa-Cumaru do Norte;0;0;0;0;0;0;0;0;0;0;0
Pa-Curionopolis;0;0;0;0;0;0;0;0;0;0;0
Pa-Curralinho;0;0;0;0;0;0;0;0;0;0;0
Pa-Curua;0;0;0;0;0;0;0;0;0;0;0
Pa-Curuca;0;0;0;0;0;0;0;0;0;0;0
Pa-Dom Eliseu;0;0;0;0;0;0;0;0;0;0;0
Pa-Eldorado do Carajas;10;11;14;17;79;0;0;0;0;0;0
Pa-Faro;0;0;0;0;0;0;0;0;0;0;0
Pa-Floresta do Araguaia;0;0;0;0;0;0;0;0;0;0;0
Pa-Garrafao do Norte;0;0;0;0;0;0;0;0;0;0;0
Pa-Goianesia do Para;0;2;7;9;0;11;14;0;0;0;0
