Município;2021;2020;2019;2018;2017
To-Araguaina;1913;1849;1844;1828;1657
To-Araguana;0;0;0;0;0
To-Araguatins;7;11;11;12;12
To-Arapoema;0;0;0;0;0
To-Arraias;0;0;0;0;0
To-Augustinopolis;6;6;0;0;6
To-Aurora do Tocantins;0;0;0;0;0
To-Axixa do Tocantins;0;0;0;0;0
To-Babaculandia;0;0;0;0;0
To-Bandeirantes do Tocantins;0;0;0;0;0
To-Barra do Ouro;0;0;0;0;0
To-Barrolandia;0;0;0;0;0
To-Bernardo Sayao;0;0;0;0;0
To-Bom Jesus do Tocantins;0;0;0;0;0
To-Brasilandia do Tocantins;0;0;0;0;0
To-Brejinho de Nazare;0;2;2;2;2
To-Buriti do Tocantins;0;0;0;0;0
To-Cachoeirinha;0;0;0;0;0
To-Campos Lindos;0;0;0;0;0
To-Cariri do Tocantins;0;0;0;0;0
To-Carmolandia;0;0;0;0;0
To-Carrasco Bonito;0;0;0;0;0
To-Caseara;0;0;0;0;0
To-Centenario;0;0;0;0;0
To-Chapada de Areia;0;0;0;0;0
To-Chapada da Natividade;0;0;0;0;0
To-Colinas do Tocantins;12;15;11;11;12
To-Combinado;0;0;0;0;0
To-Conceicao do Tocantins;0;0;0;0;0
To-Couto Magalhaes;0;0;0;0;0
To-Cristalandia;5;5;7;5;3
To-Crixas do Tocantins;0;0;0;0;0
To-Darcinopolis;0;0;0;0;0
To-Dianopolis;7;4;6;5;0
To-Divinopolis do Tocantins;0;0;0;0;0
To-Dois Irmaos do Tocantins;0;0;0;0;0
To-Duere;0;0;0;0;0
To-Esperantina;0;0;0;0;0
To-Fatima;0;0;3;3;1
To-Figueiropolis;0;0;0;0;0
To-Filadelfia;0;0;0;0;0
To-Formoso do Araguaia;5;5;7;6;2
To-Fortaleza do Tabocao;0;0;0;0;0
To-Goianorte;0;0;0;0;0
To-Goiatins;0;0;0;0;0
To-Guarai;10;11;7;4;4
To-Gurupi;662;635;672;550;528
To-Ipueiras;0;0;0;0;0
To-Itacaja;0;0;0;0;0
To-Itaguatins;0;0;0;0;0
To-Itapiratins;0;0;0;0;0
To-Itapora do Tocantins;0;0;0;0;0
To-Jau do Tocantins;0;0;0;0;0
To-Juarina;0;0;0;0;0
To-Lagoa da Confusao;3;3;4;7;4
To-Lagoa do Tocantins;0;0;0;0;0
To-Lajeado;0;0;0;0;0
To-Lavandeira;0;0;0;0;0
To-Lizarda;0;0;0;0;0
To-Luzinopolis;0;0;0;0;0
To-Marianopolis do Tocantins;0;0;0;0;0
To-Mateiros;1;2;2;2;2
To-Maurilandia do Tocantins;0;0;0;0;0
To-Miracema do Tocantins;63;55;56;46;53
To-Miranorte;3;2;3;5;5
To-Monte do Carmo;0;0;0;0;0
To-Monte Santo do Tocantins;0;0;0;0;0
To-Palmeiras do Tocantins;0;0;0;0;0
To-Muricilandia;0;0;0;0;0
To-Natividade;0;0;0;0;0
To-Nazare;0;0;0;0;0
To-Nova Olinda;529;515;516;513;409
To-Nova Rosalandia;0;0;0;0;0
To-Novo Acordo;10;0;0;0;0
To-Novo Alegre;0;0;0;0;0
To-Novo Jardim;0;0;0;0;0
To-Oliveira de Fatima;0;0;0;0;0
To-Palmeirante;0;0;0;0;0
To-Palmeiropolis;6;4;4;8;10
To-Paraiso do Tocantins;964;889;894;889;842
To-Parana;0;0;0;0;0
To-Pau D Arco;0;0;0;0;0
To-Pedro Afonso;4;5;5;5;4
To-Peixe;0;0;0;0;0
To-Pequizeiro;0;0;0;0;0
To-Colmeia;1;14;13;13;194
To-Pindorama do Tocantins;0;0;0;0;0
To-Piraque;0;0;0;0;0
To-Pium;0;0;0;0;0
To-Ponte Alta do Bom Jesus;0;0;0;0;0
To-Ponte Alta do Tocantins;0;0;2;2;2
