Município;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006
Pa-Porto de Moz;0;0;0;0;0;0;0;0;0;0;0
Pa-Prainha;0;0;0;0;0;0;0;0;0;0;0
Pa-Primavera;0;0;0;0;0;0;0;0;0;0;0
Pa-Quatipuru;0;0;0;0;0;0;0;0;0;0;0
Pa-Redencao;6;5;5;6;4;5;8;6;6;4;2
Pa-Rio Maria;2;2;2;1;3;3;2;3;1;2;1
Pa-Rondon do Para;1;1;1;1;1;2;1;1;1;0;0
Pa-Ruropolis;2;1;1;1;1;1;0;0;0;0;0
Pa-Salinopolis;0;0;0;0;0;0;0;0;0;0;0
Pa-Salvaterra;0;0;0;0;0;0;0;0;0;0;0
Pa-Santa Barbara do Para;0;0;0;0;0;0;0;0;0;0;0
Pa-Santa Cruz do Arari;0;0;0;0;0;0;0;0;0;0;0
Pa-Santa Izabel do Para;2;2;4;3;2;5;4;3;4;2;4
Pa-Santa Luzia do Para;0;0;0;0;0;0;0;0;0;0;0
Pa-Santa Maria das Barreiras;1;1;1;1;1;1;1;2;2;1;0
Pa-Santa Maria do Para;0;0;0;0;0;0;0;0;0;0;0
Pa-Santana do Araguaia;1;1;1;1;1;1;1;3;3;4;2
Pa-Santarem;4;4;3;6;5;5;5;5;4;4;5
Pa-Santarem Novo;0;0;0;0;0;0;0;0;0;0;0
Pa-Santo Antonio do Taua;0;0;0;0;1;0;0;0;0;0;0
Pa-Sao Caetano de Odivelas;0;0;0;0;0;0;0;0;0;0;0
Pa-Sao Domingos do Araguaia;0;0;0;0;0;0;0;0;0;0;0
Pa-Sao Domingos do Capim;0;0;0;0;0;0;0;0;0;0;0
Pa-Sao Felix do Xingu;3;3;3;2;1;1;1;1;1;0;0
Pa-Sao Francisco do Para;0;0;0;0;0;0;0;0;0;0;0
Pa-Sao Geraldo do Araguaia;1;1;1;3;2;2;2;2;2;0;0
Pa-Sao Joao da Ponta;0;0;0;0;0;0;0;0;0;0;0
Pa-Sao Joao de Pirabas;0;0;0;0;0;0;0;0;0;0;0
Pa-Sao Joao do Araguaia;0;0;0;0;1;0;1;1;1;0;0
Pa-Sao Miguel do Guama;0;0;0;0;0;0;1;0;0;0;0
Pa-Sao Sebastiao da Boa Vista;0;0;0;0;0;0;0;0;0;0;0
Pa-Sapucaia;0;0;0;0;0;0;0;0;0;0;0
Pa-Senador Jose Porfirio;0;0;0;0;0;0;0;0;0;0;0
Pa-Soure;0;0;0;0;0;0;0;0;0;0;0
Pa-Tailandia;2;2;1;1;1;1;1;1;1;0;0
Pa-Terra Alta;0;0;0;0;0;0;0;0;0;0;0
Pa-Terra Santa;0;0;0;0;0;0;0;0;0;0;0
Pa-Tome-Acu;1;0;1;1;1;1;1;0;0;0;0
Pa-Tracuateua;0;0;0;0;0;0;0;0;0;0;0
Pa-Trairao;0;0;0;0;0;0;0;0;0;0;0
Pa-Tucuma;3;3;3;4;3;4;5;2;2;3;1
Pa-Tucurui;1;2;2;2;1;2;2;2;1;2;2
Pa-Ulianopolis;0;0;0;0;0;0;0;0;0;0;0
Pa-Uruara;1;1;1;1;1;1;1;1;1;1;1
Pa-Vigia;1;1;1;1;1;1;0;0;0;0;0
Pa-Viseu;0;0;0;0;0;0;0;0;0;0;0
Pa-Vitoria do Xingu;0;0;0;0;0;0;0;0;0;0;0
Pa-Xinguara;9;7;7;9;6;6;7;7;9;7;6
Pa-Ignorado;0;0;0;0;0;0;0;0;0;0;0
Ap-Serra do Navio;0;0;0;0;0;0;0;0;0;0;0
Ap-Amapa;0;0;0;0;0;0;0;0;0;0;0
