Município;2021;2020;2019;2018;2017
Pa-Mocajuba;0;0;3;0;0
Pa-Moju;239;137;122;113;108
Pa-Mojui dos Campos;16;2;2;4;5
Pa-Monte Alegre;19;10;9;6;7
Pa-Muana;18;17;20;8;8
Pa-Nova Esperanca do Piria;33;37;32;26;23
Pa-Nova Ipixuna;65;54;61;60;45
Pa-Nova Timboteua;47;55;55;67;62
Pa-Novo Progresso;350;288;308;284;280
Pa-Novo Repartimento;437;380;432;466;424
Pa-Obidos;32;34;34;31;21
Pa-Oeiras do Para;0;0;0;0;0
Pa-Oriximina;49;59;28;50;49
Pa-Ourem;21;19;18;36;37
Pa-Ourilandia do Norte;162;162;136;131;154
Pa-Pacaja;182;164;194;176;155
Pa-Palestina do Para;122;121;132;108;86
Pa-Paragominas;1216;1120;1185;1310;1331
Pa-Parauapebas;160;147;161;230;206
Pa-Pau D Arco;205;201;219;156;129
Pa-Peixe-Boi;31;34;41;41;47
Pa-Picarra;412;413;519;443;433
Pa-Placas;18;6;14;9;10
Pa-Ponta de Pedras;29;25;28;28;42
Pa-Portel;87;83;89;46;42
Pa-Porto de Moz;25;26;23;10;28
Pa-Prainha;14;8;6;2;5
Pa-Primavera;1;1;2;3;5
Pa-Quatipuru;0;0;0;1;1
Pa-Redencao;650;559;625;641;773
Pa-Rio Maria;519;513;510;524;569
Pa-Rondon do Para;387;447;497;488;636
Pa-Ruropolis;22;4;7;14;13
Pa-Salinopolis;0;0;0;0;0
Pa-Salvaterra;12;25;16;33;20
Pa-Santa Barbara do Para;11;14;12;10;11
Pa-Santa Cruz do Arari;15;12;13;20;16
Pa-Santa Izabel do Para;120;118;131;150;150
Pa-Santa Luzia do Para;70;46;52;62;57
Pa-Santa Maria das Barreiras;890;655;767;733;666
Pa-Santa Maria do Para;25;35;22;23;26
Pa-Santana do Araguaia;1104;947;996;1041;1031
Pa-Santarem;65;67;84;76;66
Pa-Santarem Novo;7;7;5;6;5
Pa-Santo Antonio do Taua;27;31;28;18;25
Pa-Sao Caetano de Odivelas;6;4;2;12;1
Pa-Sao Domingos do Araguaia;123;109;135;114;117
Pa-Sao Domingos do Capim;93;90;72;64;75
Pa-Sao Felix do Xingu;1700;1664;1728;1723;1651
Pa-Sao Francisco do Para;98;89;71;83;88
Pa-Sao Geraldo do Araguaia;462;406;387;463;468
Pa-Sao Joao da Ponta;1;1;0;0;2
Pa-Sao Joao de Pirabas;2;0;0;0;1
Pa-Sao Joao do Araguaia;95;72;83;71;69
Pa-Sao Miguel do Guama;103;111;104;114;127
Pa-Sao Sebastiao da Boa Vista;0;0;0;0;0
Pa-Sapucaia;554;515;625;584;581
Pa-Senador Jose Porfirio;15;13;15;9;9
Pa-Soure;83;72;81;86;93
Pa-Tailandia;122;82;99;162;187
Pa-Terra Alta;11;10;4;11;11
Pa-Terra Santa;1;1;1;2;2
Pa-Tome-Acu;519;479;465;467;435
Pa-Tracuateua;14;12;5;6;9
Pa-Trairao;5;5;3;1;2
Pa-Tucuma;118;129;134;150;169
Pa-Tucurui;130;118;124;124;149
Pa-Ulianopolis;134;167;163;155;163
Pa-Uruara;147;111;129;141;168
Pa-Vigia;7;2;8;5;6
Pa-Viseu;104;57;51;63;62
Pa-Vitoria do Xingu;146;127;125;157;151
Pa-Xinguara;1067;1155;1097;1153;1123
Pa-Ignorado;0;0;0;0;0
Ap-Serra do Navio;0;0;0;0;0
Ap-Amapa;36;43;38;42;44
Ap-Pedra Branca do Amapari;0;0;0;0;0
Ap-Calcoene;5;4;0;3;3
Ap-Cutias;23;11;11;17;16
Ap-Ferreira Gomes;0;0;0;1;1
Ap-Itaubal;11;12;2;18;17
Ap-Laranjal do Jari;0;1;2;2;1
Ap-Macapa;84;72;54;118;149
Ap-Mazagao;2;0;0;9;8
Ap-Oiapoque;1;1;0;1;0
Ap-Porto Grande;13;17;6;2;4
Ap-Pracuuba;0;0;0;2;2
Ap-Santana;4;3;1;11;18
Ap-Tartarugalzinho;8;9;9;0;0
Ap-Vitoria do Jari;0;0;0;0;0
Ap-Ignorado;0;0;0;0;0
To-Abreulandia;88;63;69;69;63
To-Aguiarnopolis;16;14;14;13;7
To-Alianca do Tocantins;130;120;115;116;118
To-Almas;67;39;44;47;47
To-Alvorada;128;88;85;115;106
To-Ananas;206;210;218;209;215
To-Angico;24;29;22;10;11
To-Aparecida do Rio Negro;36;31;35;21;31
To-Aragominas;162;166;177;170;183
To-Araguacema;72;72;67;84;86
To-Araguacu;500;495;519;525;406
To-Araguaina;674;649;718;777;784
To-Araguana;246;229;213;177;193
To-Araguatins;141;154;177;161;141
To-Arapoema;300;310;337;358;335
To-Arraias;129;154;134;152;170
To-Augustinopolis;67;57;65;58;63
To-Aurora do Tocantins;19;18;13;16;16
To-Axixa do Tocantins;27;27;24;26;42
To-Babaculandia;75;79;102;81;73
To-Bandeirantes do Tocantins;274;269;274;257;264
To-Barra do Ouro;24;18;15;15;16
To-Barrolandia;55;66;66;67;56
To-Bernardo Sayao;191;182;152;157;162
To-Bom Jesus do Tocantins;20;18;15;16;17
To-Brasilandia do Tocantins;79;77;73;78;74
To-Brejinho de Nazare;71;58;69;71;94
To-Buriti do Tocantins;13;14;15;12;21
To-Cachoeirinha;17;10;13;10;18
To-Campos Lindos;35;35;31;35;37
To-Cariri do Tocantins;140;133;141;136;143
To-Carmolandia;73;92;79;78;96
To-Carrasco Bonito;15;16;15;15;17
To-Caseara;43;47;52;42;48
To-Centenario;6;8;6;6;5
To-Chapada de Areia;32;25;28;22;20
To-Chapada da Natividade;17;18;17;19;13
To-Colinas do Tocantins;229;195;223;197;225
To-Combinado;10;9;11;12;12
To-Conceicao do Tocantins;33;35;32;44;36
To-Couto Magalhaes;72;62;63;59;61
To-Cristalandia;96;82;88;86;76
To-Crixas do Tocantins;30;27;39;41;42
To-Darcinopolis;49;30;52;50;68
To-Dianopolis;96;88;83;99;86
To-Divinopolis do Tocantins;191;171;155;146;158
To-Dois Irmaos do Tocantins;153;140;152;137;130
To-Duere;215;173;219;199;205
To-Esperantina;14;13;14;13;13
To-Fatima;22;28;27;34;31
To-Figueiropolis;184;153;159;164;176
To-Filadelfia;104;102;98;94;96
To-Formoso do Araguaia;228;197;236;213;218
To-Fortaleza do Tabocao;61;62;63;57;54
To-Goianorte;64;57;59;68;84
To-Goiatins;51;42;37;47;61
To-Guarai;147;125;141;130;142
To-Gurupi;278;259;279;290;301
To-Ipueiras;23;21;25;22;19
To-Itacaja;44;34;40;32;34
To-Itaguatins;77;69;67;68;64
To-Itapiratins;25;20;19;25;32
To-Itapora do Tocantins;192;186;187;195;207
To-Jau do Tocantins;67;55;62;65;64
To-Juarina;27;17;14;10;12
To-Lagoa da Confusao;82;87;94;95;85
To-Lagoa do Tocantins;6;0;1;3;4
To-Lajeado;13;14;9;23;10
To-Lavandeira;16;8;7;8;6
To-Lizarda;0;0;0;2;2
To-Luzinopolis;32;35;31;26;33
To-Marianopolis do Tocantins;397;302;262;256;189
To-Mateiros;0;0;0;0;0
To-Maurilandia do Tocantins;5;32;35;35;36
To-Miracema do Tocantins;271;206;147;189;171
To-Miranorte;172;161;141;156;98
To-Monte do Carmo;70;81;73;79;89
To-Monte Santo do Tocantins;88;72;63;57;48
To-Palmeiras do Tocantins;36;27;36;26;31
To-Muricilandia;165;138;151;185;159
To-Natividade;111;92;98;89;95
To-Nazare;40;25;29;26;29
To-Nova Olinda;94;75;85;122;110
To-Nova Rosalandia;14;16;21;23;14
To-Novo Acordo;9;11;13;16;16
To-Novo Alegre;14;11;12;8;10
To-Novo Jardim;20;22;22;23;18
To-Oliveira de Fatima;8;7;8;7;9
To-Palmeirante;80;65;72;89;72
To-Palmeiropolis;77;51;77;227;186
To-Paraiso do Tocantins;178;191;220;258;264
To-Parana;125;96;105;75;70
To-Pau D Arco;139;110;81;108;99
To-Pedro Afonso;36;40;38;33;32
To-Peixe;284;293;299;311;315
To-Pequizeiro;74;98;75;76;72
To-Colmeia;72;70;76;75;62
To-Pindorama do Tocantins;35;37;39;26;17
To-Piraque;207;243;253;248;203
To-Pium;395;367;342;340;288
To-Ponte Alta do Bom Jesus;16;18;13;14;11
To-Ponte Alta do Tocantins;81;80;49;38;32
To-Porto Alegre do Tocantins;7;6;6;0;1
To-Porto Nacional;259;219;227;241;280
To-Praia Norte;10;9;12;11;9
To-Presidente Kennedy;45;37;33;34;33
To-Pugmil;13;17;18;15;13
To-Recursolandia;33;56;53;25;24
To-Riachinho;22;32;29;54;44
To-Rio da Conceicao;2;0;0;1;1
To-Rio dos Bois;12;16;18;20;22
To-Rio Sono;61;48;42;31;28
To-Sampaio;4;5;5;6;7
To-Sandolandia;201;141;163;157;174
To-Santa Fe do Araguaia;313;242;299;354;324
To-Santa Maria do Tocantins;33;28;21;24;24
To-Santa Rita do Tocantins;95;96;86;119;94
To-Santa Rosa do Tocantins;63;56;49;47;51
To-Santa Tereza do Tocantins;21;21;20;10;24
To-Santa Terezinha do Tocantins;17;14;17;12;8
To-Sao Bento do Tocantins;25;25;27;28;32
To-Sao Felix do Tocantins;0;3;1;1;1
To-Sao Miguel do Tocantins;23;39;41;53;46
To-Sao Salvador do Tocantins;36;23;25;23;14
To-Sao Sebastiao do Tocantins;9;13;11;9;10
To-Sao Valerio;52;41;57;71;77
To-Silvanopolis;64;57;65;66;66
To-Sitio Novo do Tocantins;38;36;40;34;33
To-Sucupira;57;66;57;55;50
To-Taguatinga;91;61;79;73;75
To-Taipas do Tocantins;27;28;23;11;12
To-Talisma;137;112;120;115;115
To-Palmas;97;86;107;176;154
To-Tocantinia;24;25;25;37;37
To-Tocantinopolis;81;41;42;54;52
To-Tupirama;19;9;12;9;10
To-Tupiratins;13;8;9;8;9
To-Wanderlandia;75;76;65;68;78
To-Xambioa;216;224;243;213;229
To-Ignorado;0;0;0;0;0
Ma-Acailandia;695;570;713;704;725
Ma-Afonso Cunha;0;0;0;0;0
Ma-Agua Doce do Maranhao;0;0;0;0;0
Ma-Alcantara;0;0;0;0;0
Ma-Aldeias Altas;0;0;2;2;0
Ma-Altamira do Maranhao;78;66;64;66;64
Ma-Alto Alegre do Maranhao;6;6;7;9;8
Ma-Alto Alegre do Pindare;9;7;8;10;11
Ma-Alto Parnaiba;9;3;2;10;3
Ma-Amapa do Maranhao;2;0;2;0;3
Ma-Amarante do Maranhao;68;88;102;101;87
Ma-Anajatuba;0;0;3;4;0
Ma-Anapurus;0;0;0;0;0
Ma-Apicum-Acu;0;0;0;0;0
Ma-Araguana;2;2;1;3;2
Ma-Araioses;0;0;0;1;4
Ma-Arame;44;38;44;50;40
Ma-Arari;1;4;3;0;1
Ma-Axixa;16;19;16;12;14
Ma-Bacabal;215;272;285;297;298
Ma-Bacabeira;2;2;2;2;16
Ma-Bacuri;0;0;0;0;0
Ma-Bacurituba;0;0;0;0;0
Ma-Balsas;116;99;79;55;36
Ma-Barao de Grajau;0;0;0;0;0
Ma-Barra do Corda;37;28;28;28;35
Ma-Barreirinhas;0;0;0;0;0
Ma-Belagua;0;0;0;0;0
Ma-Bela Vista do Maranhao;83;73;79;22;18
Ma-Benedito Leite;0;0;0;0;0
Ma-Bequimao;3;1;3;4;3
Ma-Bernardo do Mearim;9;12;1;11;8
Ma-Boa Vista do Gurupi;0;0;0;1;0
Ma-Bom Jardim;121;142;172;197;162
Ma-Bom Jesus das Selvas;127;96;95;103;112
Ma-Bom Lugar;29;30;31;35;40
Ma-Brejo;0;0;0;0;2
Ma-Brejo de Areia;0;0;0;0;0
Ma-Buriti;0;0;4;0;12
Ma-Buriti Bravo;12;3;2;9;13
Ma-Buriticupu;24;19;47;30;39
Ma-Buritirana;49;42;49;39;44
Ma-Cachoeira Grande;0;0;0;0;0
Ma-Cajapio;3;3;3;0;0
Ma-Cajari;0;0;0;0;0
Ma-Campestre do Maranhao;82;94;48;58;62
Ma-Candido Mendes;8;2;0;0;0
Ma-Cantanhede;7;9;6;20;24
Ma-Capinzal do Norte;161;144;126;120;100
Ma-Carolina;67;96;95;59;71
Ma-Carutapera;50;70;90;84;85
Ma-Caxias;177;128;157;71;79
Ma-Cedral;0;0;0;0;0
Ma-Central do Maranhao;0;1;1;1;0
Ma-Centro do Guilherme;1;1;2;1;0
Ma-Centro Novo do Maranhao;25;21;24;31;34
Ma-Chapadinha;4;2;4;4;0
Ma-Cidelandia;138;120;128;110;122
Ma-Codo;284;254;266;249;287
Ma-Coelho Neto;4;4;4;4;4
Ma-Colinas;40;34;40;34;18
Ma-Conceicao do Lago-Acu;12;12;21;21;21
Ma-Coroata;6;8;11;6;8
Ma-Cururupu;0;0;0;0;0
Ma-Davinopolis;24;23;18;29;34
Ma-Dom Pedro;8;8;0;0;8
Ma-Duque Bacelar;0;0;0;0;0
Ma-Esperantinopolis;0;0;0;0;0
Ma-Estreito;57;71;80;59;84
Ma-Feira Nova do Maranhao;13;5;3;2;2
Ma-Fernando Falcao;3;9;0;0;0
Ma-Formosa da Serra Negra;8;11;10;10;5
Ma-Fortaleza dos Nogueiras;8;10;15;15;7
Ma-Fortuna;0;0;0;0;0
Ma-Godofredo Viana;0;0;0;0;0
Ma-Goncalves Dias;0;0;0;0;1
Ma-Governador Archer;0;2;2;2;2
Ma-Governador Edison Lobao;92;84;102;92;84
Ma-Governador Eugenio Barros;9;7;4;3;6
Ma-Governador Luiz Rocha;0;1;1;1;0
Ma-Governador Newton Bello;47;34;31;39;33
Ma-Governador Nunes Freire;9;9;8;6;3
Ma-Graca Aranha;0;0;0;0;0
Ma-Grajau;145;147;165;163;184
Ma-Guimaraes;0;0;0;0;0
Ma-Humberto de Campos;0;0;0;0;0
Ma-Icatu;0;0;0;0;0
Ma-Igarape do Meio;36;10;7;13;14
Ma-Igarape Grande;5;5;7;39;32
Ma-Imperatriz;408;354;386;389;367
Ma-Itaipava do Grajau;0;0;4;4;2
Ma-Itapecuru Mirim;22;14;18;14;17
Ma-Itinga do Maranhao;179;149;173;168;159
Ma-Jatoba;0;1;1;1;1
Ma-Jenipapo dos Vieiras;0;0;0;0;0
Ma-Joao Lisboa;113;98;117;118;92
Ma-Joselandia;3;0;0;0;0
Ma-Junco do Maranhao;13;0;0;0;0
Ma-Lago da Pedra;50;40;54;56;66
Ma-Lago do Junco;8;9;14;14;16
Ma-Lago Verde;25;34;26;19;20
Ma-Lagoa do Mato;18;10;13;13;13
Ma-Lago dos Rodrigues;7;8;8;8;5
Ma-Lagoa Grande do Maranhao;0;3;0;4;4
Ma-Lajeado Novo;37;47;47;40;42
Ma-Lima Campos;5;4;2;4;4
Ma-Loreto;0;0;0;0;0
Ma-Luis Domingues;0;0;0;0;0
Ma-Magalhaes de Almeida;1;1;1;0;0
Ma-Maracacume;3;3;4;5;0
Ma-Maraja do Sena;0;0;0;0;0
Ma-Maranhaozinho;9;10;0;0;0
Ma-Mata Roma;0;0;0;0;0
Ma-Matinha;27;31;31;31;38
Ma-Matoes;19;20;15;13;15
Ma-Matoes do Norte;8;4;4;2;4
Ma-Milagres do Maranhao;0;0;0;0;0
Ma-Mirador;1;1;1;0;1
Ma-Miranda do Norte;37;40;41;39;39
Ma-Mirinzal;0;0;0;0;0
Ma-Moncao;1;32;34;0;0
Ma-Montes Altos;27;21;24;27;23
Ma-Morros;0;0;0;0;0
Ma-Nina Rodrigues;0;0;0;0;0
Ma-Nova Colinas;0;1;2;2;2
Ma-Nova Iorque;0;0;0;0;0
