Município;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006
Am-Pauini;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Presidente Figueiredo;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Rio Preto da Eva;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Santa Isabel do Rio Negro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Santo Antonio do Ica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Sao Gabriel da Cachoeira;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Sao Paulo de Olivenca;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Sao Sebastiao do Uatuma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Silves;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Tabatinga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Tapaua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Tefe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Tonantins;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Uarini;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Urucara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Urucurituba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Ignorado;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rr-Amajari;24;13;23;19;23;15;16;20;17;16;13;20;15;18;6;3
Rr-Alto Alegre;103;69;67;57;37;48;42;14;15;2;14;10;8;13;14;15
Rr-Boa Vista;105;72;56;44;48;41;31;55;41;26;23;16;28;17;17;38
Rr-Bonfim;90;72;77;78;75;58;21;24;9;2;1;3;5;4;8;7
Rr-Canta;2;1;3;0;6;9;10;0;13;15;11;13;13;14;14;9
Rr-Caracarai;7;4;7;5;3;1;4;0;14;8;7;1;0;0;0;0
Rr-Caroebe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rr-Iracema;0;0;0;0;9;8;9;0;0;0;0;0;0;0;0;0
Rr-Mucajai;5;3;3;4;2;0;0;17;0;0;0;8;7;8;6;5
Rr-Normandia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rr-Pacaraima;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rr-Rorainopolis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
